year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2007,12,2998331524.0,2998331524.0,0.0,0.0,0.0,0.0
2008,01,4930902570.0,4930902570.0,0.0,0.0,0.0,0.0
2008,02,4818393763.0,4818393763.0,0.0,0.0,0.0,0.0
2008,03,4955405809.0,4955405809.0,0.0,0.0,0.0,0.0
2008,04,5159162183.0,5159162183.0,0.0,0.0,0.0,0.0
2008,05,5584691092.0,5584691092.0,0.0,0.0,0.0,0.0
2008,06,5712104279.0,5712104279.0,0.0,0.0,0.0,0.0
2008,07,5306302874.0,5306302874.0,0.0,0.0,0.0,0.0
2008,08,5140155519.0,5140155519.0,0.0,0.0,0.0,0.0
2008,09,5479533823.0,5479533823.0,0.0,0.0,0.0,0.0
2008,10,5679440782.0,5679440782.0,0.0,0.0,0.0,0.0
2008,11,5415832071.0,5415832071.0,0.0,0.0,0.0,0.0
2008,12,5211708451.0,5211708451.0,0.0,0.0,0.0,0.0
2009,01,5802681551.0,5802681551.0,0.0,0.0,0.0,0.0
2009,02,5547320860.0,5547320860.0,0.0,0.0,0.0,0.0
2009,03,6295159057.0,6295159057.0,0.0,0.0,0.0,0.0
2009,04,5988817321.0,5988817321.0,0.0,0.0,0.0,0.0
2009,05,6267516733.0,6267516733.0,0.0,0.0,0.0,0.0
2009,06,5818924182.0,5818924182.0,0.0,0.0,0.0,0.0
2009,07,5801646978.0,5801646978.0,0.0,0.0,0.0,0.0
2009,08,5790850384.0,5790850384.0,0.0,0.0,0.0,0.0
2009,09,4057515768.0,4057515768.0,0.0,0.0,0.0,0.0
2009,10,6016107147.0,6016107147.0,0.0,0.0,0.0,0.0
2009,11,5768486910.0,5768486910.0,0.0,0.0,0.0,0.0
2009,12,5426505977.0,5426505977.0,0.0,0.0,0.0,0.0
2010,01,5703465285.0,5703465285.0,0.0,0.0,0.0,0.0
2010,02,5762451418.0,5762451418.0,0.0,0.0,0.0,0.0
2010,03,6661347946.0,6661347946.0,0.0,0.0,0.0,0.0
2010,04,6618552152.0,6618552152.0,0.0,0.0,0.0,0.0
2010,05,6410578775.0,6410578775.0,0.0,0.0,0.0,0.0
2010,06,4898035014.0,4898035014.0,0.0,0.0,0.0,0.0
2010,07,5296177638.0,5296177638.0,0.0,0.0,0.0,0.0
2010,08,7381346660.0,7381346660.0,0.0,0.0,0.0,0.0
2010,09,7546488744.0,7546488744.0,0.0,0.0,0.0,0.0
2010,10,10172844562.0,10172844562.0,0.0,0.0,0.0,0.0
2010,11,6948678354.0,6948678354.0,0.0,0.0,0.0,0.0
2010,12,7001952100.0,7001952100.0,0.0,0.0,0.0,0.0
2011,01,7568511227.0,7568511227.0,0.0,0.0,0.0,0.0
2011,02,6906248849.0,6906248849.0,0.0,0.0,0.0,0.0
2011,03,7326545928.0,7326545928.0,0.0,0.0,0.0,0.0
2011,04,6835492088.0,6835492088.0,0.0,0.0,0.0,0.0
2011,05,7009799378.0,7009799378.0,0.0,0.0,0.0,0.0
2011,06,6536675534.0,6536675534.0,0.0,0.0,0.0,0.0
2011,07,6571730164.0,6571730164.0,0.0,0.0,0.0,0.0
2011,08,6514500361.0,6514500361.0,0.0,0.0,0.0,0.0
2011,09,5837738935.0,5837738935.0,0.0,0.0,0.0,0.0
2011,10,6974424665.0,6974424665.0,0.0,0.0,0.0,0.0
2011,11,7507641641.0,7507641641.0,0.0,0.0,0.0,0.0
2011,12,6396357939.0,6396357939.0,0.0,0.0,0.0,0.0
2012,01,7808477339.0,7808477339.0,0.0,0.0,0.0,0.0
2012,02,7530127141.0,7530127141.0,0.0,0.0,0.0,0.0
2012,03,7358543625.0,7358543625.0,0.0,0.0,0.0,0.0
2012,04,7220029422.0,7220029422.0,0.0,0.0,0.0,0.0
2012,05,7784479302.0,7784479302.0,0.0,0.0,0.0,0.0
2012,06,7524265988.0,7524265988.0,0.0,0.0,0.0,0.0
2012,07,7819376527.0,7819376527.0,0.0,0.0,0.0,0.0
2012,08,7885641059.0,7885641059.0,0.0,0.0,0.0,0.0
2012,09,7913689733.0,7913689733.0,0.0,0.0,0.0,0.0
2012,10,8379960050.0,8379960050.0,0.0,0.0,0.0,0.0
2012,11,8219987195.0,8219987195.0,0.0,0.0,0.0,0.0
2012,12,8033826900.0,8033826900.0,0.0,0.0,0.0,0.0
2013,01,9126210673.0,9126210673.0,0.0,0.0,0.0,0.0
2013,02,8100597857.0,8100597857.0,0.0,0.0,0.0,0.0
2013,03,8701419671.0,8701419671.0,0.0,0.0,0.0,0.0
2013,04,8049296729.0,8049296729.0,0.0,0.0,0.0,0.0
2013,05,8089099883.0,8089099883.0,0.0,0.0,0.0,0.0
2013,06,7759959725.0,7759959725.0,0.0,0.0,0.0,0.0
2013,07,8237301982.0,8237301982.0,0.0,0.0,0.0,0.0
2013,08,9306122925.0,9306122925.0,0.0,0.0,0.0,0.0
2013,09,9985326806.0,9985326806.0,0.0,0.0,0.0,0.0
2013,10,10775158269.0,10775158269.0,0.0,0.0,0.0,0.0
2013,11,10414877805.0,10414877805.0,0.0,0.0,0.0,0.0
2013,12,7102459747.0,7102459747.0,0.0,0.0,0.0,0.0
2014,01,7026531269.0,7026531269.0,0.0,0.0,0.0,0.0
2014,02,6718243109.0,6718243109.0,0.0,0.0,0.0,0.0
2014,03,7464128273.0,7464128273.0,0.0,0.0,0.0,0.0
2014,04,7216245221.0,7216245221.0,0.0,0.0,0.0,0.0
2014,05,7543277646.0,7543277646.0,0.0,0.0,0.0,0.0
2014,06,6577352648.0,6577352648.0,0.0,0.0,0.0,0.0
2014,07,6761059566.0,6761059566.0,0.0,0.0,0.0,0.0
2014,08,6687313714.0,6687313714.0,0.0,0.0,0.0,0.0
2014,09,7564600999.0,7564600999.0,0.0,0.0,0.0,0.0
2014,10,9669079813.0,6577533128.0,3091546685.0,0.0,0.0,0.0
2014,11,9181027274.0,6153537606.0,3027489668.0,0.0,0.0,0.0
2014,12,9109282269.0,5830332248.0,3278950021.0,0.0,0.0,0.0
2015,01,9589069146.0,6103767055.0,3485302091.0,0.0,0.0,0.0
2015,02,8694244918.0,5602710439.0,3091534479.0,0.0,0.0,0.0
2015,03,9677435301.0,6346602713.0,3330832588.0,0.0,0.0,0.0
2015,04,9421035574.0,6198945657.0,3222089917.0,0.0,0.0,0.0
2015,05,9657871297.0,6323801814.0,3334069483.0,0.0,0.0,0.0
2015,06,8203576103.0,5165413640.0,3038162463.0,0.0,0.0,0.0
2015,07,8483698717.0,5229226022.0,3254472695.0,11932464520.0,4376666686.0,7555797834.0
2015,08,8304022031.0,5035534449.0,3268487582.0,11857628255.0,4332482183.0,7525146072.0
2015,09,8582061182.0,5409631355.0,3172429827.0,12044965057.0,4485491704.0,7559473353.0
2015,10,8781786976.0,5535704471.0,3246082505.0,12129040865.0,4477532755.0,7651508110.0
2015,11,8515190628.0,5296956116.0,3218234512.0,11717687585.0,4287720220.0,7429967365.0
2015,12,8651858036.0,5264446173.0,3387411863.0,11476860425.0,4100012037.0,7376848388.0
2016,01,9309261244.0,5569632502.0,3739628742.0,12483762993.0,4436179457.0,8047583536.0
2016,02,8680940753.0,5347709361.0,3333231392.0,11744442512.0,4250997185.0,7493445327.0
2016,03,8827529692.0,5407676056.0,3419853636.0,11861965969.0,4286590426.0,7575375543.0
2016,04,8873620523.0,5572235399.0,3301385124.0,11475812713.0,4149383857.0,7326428856.0
2016,05,8748968139.0,5330532334.0,3418435805.0,11679850911.0,4191778094.0,7488072817.0
2016,06,8347710510.0,4975092447.0,3372618063.0,11035561901.0,3888839711.0,7146722190.0
2016,07,8864627560.0,5363966439.0,3500661121.0,12070906776.0,4337865827.0,7733040949.0
2016,08,0.0,0.0,0.0,12808739226.0,4695046216.0,8113693010.0
2016,09,0.0,0.0,0.0,11580260838.0,4135006498.0,7445254340.0
2016,10,0.0,0.0,0.0,12165584385.0,4361737690.0,7803846695.0
2016,11,0.0,0.0,0.0,12291557628.0,4392068236.0,7899489392.0
2016,12,0.0,0.0,0.0,12066784978.0,4209608578.0,7857176400.0
2017,01,0.0,0.0,0.0,13064109147.0,4521980398.0,8542128749.0
2017,02,0.0,0.0,0.0,11576106591.0,4026702163.0,7549404428.0
2017,03,0.0,0.0,0.0,12359339100.0,4319971902.0,8039367198.0
2017,04,0.0,0.0,0.0,11427485134.0,3951456992.0,7476028142.0
2017,05,0.0,0.0,0.0,11943623209.0,4187870579.0,7755752630.0
2017,06,0.0,0.0,0.0,10613199340.0,3604550997.0,7008648343.0
2017,07,0.0,0.0,0.0,10731830122.0,3565444544.0,7166385578.0
2017,08,0.0,0.0,0.0,10653379132.0,3575572313.0,7077806819.0
2017,09,0.0,0.0,0.0,10511884965.0,3547447892.0,6964437073.0
2017,10,0.0,0.0,0.0,11372843335.0,3907651639.0,7465191696.0
2017,11,0.0,0.0,0.0,11189180619.0,3816060923.0,7373119696.0
2017,12,0.0,0.0,0.0,10989911181.0,3640391096.0,7349520085.0
2018,01,0.0,0.0,0.0,12353181906.0,4111833689.0,8241348217.0
2018,02,0.0,0.0,0.0,10882405006.0,3634653694.0,7247751312.0
2018,03,0.0,0.0,0.0,11858625269.0,3965271925.0,7893353344.0
2018,04,0.0,0.0,0.0,11333814773.0,3762955419.0,7570859354.0
2018,05,0.0,0.0,0.0,11312598360.0,3675652396.0,7636945964.0
2018,06,0.0,0.0,0.0,10410228002.0,3278649434.0,7131578568.0
2018,07,0.0,0.0,0.0,11045980025.0,3457051589.0,7588928436.0
2018,08,0.0,0.0,0.0,10854182634.0,3399130789.0,7455051845.0
2018,09,0.0,0.0,0.0,10721485672.0,3433832231.0,7287653441.0
2018,10,0.0,0.0,0.0,11229608446.0,3640606578.0,7589001868.0
2018,11,0.0,0.0,0.0,10806871870.0,3448616562.0,7358255308.0
2018,12,0.0,0.0,0.0,10913934974.0,3379686909.0,7534248065.0
2019,01,0.0,0.0,0.0,11687843385.0,3616017826.0,8071825559.0
2019,02,0.0,0.0,0.0,10384375177.0,3244921935.0,7139453242.0
2019,03,0.0,0.0,0.0,11151093068.0,3439386600.0,7711706468.0
2019,04,0.0,0.0,0.0,10794031551.0,3330234244.0,7463797307.0
2019,05,0.0,0.0,0.0,11008624638.0,3364959217.0,7643665421.0
2019,06,0.0,0.0,0.0,10126360665.0,2986618238.0,7139742427.0
2019,07,0.0,0.0,0.0,10697540909.0,3140657554.0,7556883355.0
2019,08,0.0,0.0,0.0,10350451967.0,2979881198.0,7370570769.0
2019,09,0.0,0.0,0.0,10426764585.0,3061362632.0,7365401953.0
2019,10,0.0,0.0,0.0,11546006605.0,3588403486.0,7957603119.0
2019,11,0.0,0.0,0.0,10838152626.0,3252465442.0,7585687184.0
2019,12,0.0,0.0,0.0,10599454916.0,3097051994.0,7502402922.0
2020,01,0.0,0.0,0.0,11553134104.0,3440480235.0,8112653869.0
2020,02,0.0,0.0,0.0,10628245389.0,3176520359.0,7451725030.0
2020,03,0.0,0.0,0.0,11362277303.0,3412498274.0,7949779029.0
2020,04,0.0,0.0,0.0,12929567519.0,3798372613.0,9131194906.0
2020,05,0.0,0.0,0.0,11245242584.0,3078093615.0,8167148969.0
2020,06,0.0,0.0,0.0,9994699277.0,2721328557.0,7273370720.0
2020,07,0.0,0.0,0.0,9953038843.0,2638936132.0,7314102711.0
2020,08,0.0,0.0,0.0,9873991658.0,2613058239.0,7260933419.0
2020,09,0.0,0.0,0.0,9668615664.0,2661783500.0,7006832164.0
2020,10,0.0,0.0,0.0,10658654994.0,3041724497.0,7616930497.0
2020,11,0.0,0.0,0.0,10899199855.0,3095290471.0,7803909384.0
2020,12,0.0,0.0,0.0,10370975395.0,2868491144.0,7502484251.0
2021,01,0.0,0.0,0.0,11019031362.0,2997179790.0,8021851572.0
2021,02,0.0,0.0,0.0,9903536684.0,2761616525.0,7141920159.0
2021,03,0.0,0.0,0.0,11052105889.0,3141441360.0,7910664529.0
2021,04,0.0,0.0,0.0,10362263570.0,2882714492.0,7479549078.0
2021,05,0.0,0.0,0.0,10458926833.0,2824416177.0,7634510656.0
2021,06,0.0,0.0,0.0,9445748525.0,2505971366.0,6939777159.0
2021,07,0.0,0.0,0.0,10148617002.0,2765584368.0,7383032634.0
2021,08,0.0,0.0,0.0,10097640675.0,2763413934.0,7334226741.0
